Instance,Vogel,Vogel-TOCM,Russel,Russel-TOCM
75,124493,124493,210987,208774
76,214476,219927,261179,320025
77,198474,183259,266073,246887
78,169405,165140,233596,224931
79,258448,249359,226156,238403
80,247176,241984,270246,274416
81,1032109,1032109,1024988,1027879
82,939565,939565,932502,932518
83,978622,978622,973231,972467
84,1005396,1005165,995664,995364
85,1031905,1031905,1021594,1021166
86,949720,949720,944658,944753
87,957666,957666,954440,953396
88,981240,981240,975439,973920
89,968020,968020,958347,958545
90,1013811,1013811,1006413,1006413
91,906693,906693,874348,871853
92,972587,972587,945057,943094
93,966768,966600,933307,934288
94,970109,970109,925721,928718
95,921225,921185,887948,885018
96,944600,942674,918155,916039
97,953663,953663,908853,910743
98,975334,975595,951014,952854
99,998746,998746,971378,971558
100,951994,951994,936349,937264
101,736714,709001,623450,597715
102,775617,742180,597179,611485
103,672396,633056,626359,593164
104,720738,647708,603082,606131
105,694132,685186,604275,600544
106,776264,639516,627622,628476
107,813997,687163,659812,658268
108,637582,618744,577579,587964
109,778510,671828,638559,640347
110,739889,704900,620690,608951
111,238494,230576,247712,291878
112,227446,213853,279117,279934
113,333743,306681,369233,372633
114,219225,199167,297465,326062
115,138174,138174,238457,238105
116,141852,141852,137772,137772
117,128171,120236,192564,201240
118,221186,204290,280114,290197
119,208326,183723,221159,238456
120,187335,184960,285089,290300
121,994810,994810,989688,988130
122,949372,949372,939169,938799
123,1022191,1022191,1009327,1008229
124,974591,974591,968125,967258
125,985813,985813,978906,978756
126,1019123,1019123,1008859,1008953
127,1029105,1029105,1011462,1011894
128,1025438,1025438,1012788,1012701
129,944248,944248,935538,936894
130,990462,990462,980325,980325
131,976240,976240,921750,925495
132,978749,978749,921728,922175
133,937797,937797,875063,874144
134,1006861,1006861,922390,921243
135,987783,987783,942288,942024
136,1002705,1002705,924876,925246
137,935474,935474,886954,881320
138,988437,988437,922539,920998
139,983762,983762,925668,927155
140,939152,939152,886802,887109
141,821481,650881,588837,590805
142,891114,636712,614995,617274
143,769160,653117,599715,600355
144,765093,644839,602839,597160
145,805464,654691,583140,581171
146,857254,647901,616399,624009
147,931945,828323,682297,684201
148,894785,689704,615657,620117
149,898390,765284,667404,667404
150,784470,661431,627758,626414
151,185872,180571,208978,253238
152,236046,214804,346569,324174
153,169642,165379,260410,237532
154,181153,175666,196228,203404
155,151397,155862,202011,188526
156,241237,207154,277724,302431
157,142121,142121,204516,213940
158,193806,185853,285454,291766
159,196570,179612,247337,251262
160,150691,150691,279552,269896
161,1924131,1923676,1924968,1924992
162,1913513,1913513,1914698,1914788
163,1908317,1908317,1907242,1908713
164,1958294,1958294,1960285,1959331
165,1898686,1897944,1899333,1898746
166,1874486,1874414,1875909,1875505
167,1998299,1998299,1999226,1999396
168,2014536,2016476,2014890,2014161
169,1963405,1963391,1966095,1967202
170,1934484,1934484,1935156,1935156
171,1854813,1854452,1865420,1861231
172,1776756,1776756,1781754,1782448
173,1807348,1806846,1811014,1811555
174,1821308,1822332,1825008,1829852
175,1839497,1840661,1834217,1832695
176,1708346,1706919,1714217,1714166
177,1857659,1858143,1863157,1864997
178,1734888,1732194,1743036,1740852
179,1808678,1812149,1817996,1815924
180,1776365,1781377,1783934,1787402
181,1171024,1183441,1199187,1183973
182,1142133,1122160,1140029,1140287
183,1181879,1162240,1174267,1178059
184,1181452,1194827,1205732,1244958
185,1251388,1208161,1226001,1226001
186,1172846,1173260,1195969,1195969
187,1086164,1051090,1074329,1075349
188,1125314,1125314,1209613,1221175
189,1159276,1136753,1140747,1140747
190,1192344,1190546,1214579,1204305
191,412527,443341,441800,441800
192,440686,401161,405588,440642
193,410884,459237,420891,420891
194,347357,328120,391092,390786
195,364738,355932,379004,376562
196,443322,437648,451827,456404
197,344262,344262,437090,431013
198,614561,562385,523942,505214
199,462842,430936,535136,494362
200,338317,334503,406554,420462
201,2032877,2032877,2029117,2028314
202,1966170,1966170,1961047,1960786
203,1992197,1992197,1987237,1987286
204,1927228,1926983,1920819,1921490
205,1982471,1982471,1975431,1976234
206,1868634,1868634,1866295,1866251
207,1970606,1970606,1963885,1963441
208,1949063,1948955,1944693,1943659
209,1991188,1991275,1986885,1985949
210,2031145,2031178,2029904,2030267
211,1888524,1887981,1864402,1870689
212,1885742,1886490,1880346,1880974
213,1858806,1860987,1842338,1841727
214,1841364,1841364,1817332,1818245
215,1923055,1917755,1895390,1887740
216,1859660,1856945,1855690,1846797
217,1863696,1863696,1840694,1840459
218,1828352,1824878,1797491,1798544
219,1826240,1826240,1816135,1815612
220,1884323,1884267,1880868,1878673
221,1326551,1312249,1194485,1195185
222,1427243,1372942,1258916,1265236
223,1328526,1247024,1164587,1143377
224,1322706,1288886,1237395,1205289
225,1342164,1295261,1238848,1214076
226,1380729,1372892,1263387,1275298
227,1258705,1253347,1236000,1232685
228,1388297,1249021,1220982,1239214
229,1309358,1274754,1162085,1161266
230,1324262,1273686,1245533,1244909
231,539261,450468,476037,476842
232,382104,373516,454974,450344
233,459354,431672,502497,456775
234,410169,404146,511398,526387
235,299407,285229,351917,343264
236,374377,364846,446624,446487
237,356248,354862,500591,454951
238,396775,384055,450093,474923
239,452489,440590,511688,510047
240,399882,392566,468458,441702
241,1955882,1955882,1938168,1938223
242,2039004,2039004,2023436,2022747
243,1953141,1953285,1938190,1937829
244,2006072,2006072,1992936,1992883
245,1987106,1987106,1975043,1974643
246,2127142,2127142,2108858,2108099
247,1973066,1973066,1953708,1953479
248,1980653,1980653,1962517,1962756
249,1884294,1884294,1868111,1867906
250,2011995,2011995,1997077,1996527
251,1991142,1990833,1881195,1882611
252,1960190,1960190,1866146,1858918
253,1903732,1903732,1850779,1856649
254,1920545,1920545,1828109,1829700
255,1905947,1905947,1835820,1829442
256,1909245,1909074,1843085,1851841
257,1984056,1984056,1880919,1874289
258,1882019,1881131,1783131,1784958
259,1850741,1850741,1759168,1756089
260,1914228,1913608,1846757,1846699
261,1574335,1375990,1221955,1220761
262,1595133,1414471,1167718,1166458
263,1491218,1341159,1195319,1187503
264,1633150,1479847,1327396,1326220
265,1471777,1325222,1175788,1173218
266,1522980,1389845,1239295,1238143
267,1514969,1409906,1243945,1226212
268,1476607,1304372,1157101,1169900
269,1612502,1407832,1211571,1220670
270,1623283,1377368,1205921,1196021
271,513872,495041,583076,574128
272,435659,419017,495056,521060
273,434421,428345,503843,543768
274,528640,506493,544483,547546
275,331021,316951,365611,371260
276,430951,388374,484639,439465
277,383769,370817,459697,383523
278,321848,306181,388961,353692
279,330415,319917,462049,429744
280,331695,317366,412722,377532
281,1967804,1967804,1947578,1947302
282,1980340,1980340,1950991,1949646
283,2031572,2031572,2002807,2001980
284,1979651,1979651,1954994,1954796
285,2025209,2025209,1995238,1996230
286,2105984,2105984,2077157,2075791
287,2047577,2047577,2010688,2011074
288,2039567,2039567,2014699,2014584
289,1981083,1981083,1950391,1949827
290,1907730,1907730,1874508,1873315
291,2059484,2059484,1898349,1897300
292,1993761,1993761,1861145,1859044
293,1962516,1962516,1818641,1815370
294,1928496,1928496,1792395,1797471
295,2055493,2055493,1894838,1892886
296,1965056,1965056,1782177,1783092
